2024-05-02 09:57:45.733195 - securitiesToTrade --> [(8, '869808'), (8, '870766'), (2, '36610'), (2, '36622'), (2, '36752'), (2, '36801'), (2, '43771'), (2, '43797'), (2, '41302'), (2, '41312'), (8, '869576'), (8, '869631')]

2024-05-02 10:15:23.707518 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '490.10', 'LTT': '10:15:23'}

2024-05-02 10:15:23.840986 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.95', 'LTT': '10:15:24'}

2024-05-02 10:15:23.892287 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '450.60', 'LTT': '10:15:23'}

2024-05-02 10:15:23.915997 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '415.65', 'LTT': '10:15:24'}

2024-05-02 10:15:23.982645 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.95', 'LTT': '10:15:23'}

2024-05-02 10:15:23.990370 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '290.05', 'LTT': '10:15:23'}

2024-05-02 10:15:24.258617 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '290.85', 'LTT': '10:15:24'}

2024-05-02 10:15:24.390668 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '107.50', 'LTT': '10:15:24'}

2024-05-02 10:15:24.625217 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '160.55', 'LTT': '10:15:24'}

2024-05-02 10:15:24.653885 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '489.75', 'LTT': '10:15:24'}

2024-05-02 10:15:24.859622 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.50', 'LTT': '10:15:25'}

2024-05-02 10:15:24.876662 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '416.05', 'LTT': '10:15:25'}

2024-05-02 10:15:25.047597 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '289.70', 'LTT': '10:15:24'}

2024-05-02 10:15:25.394041 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '108.60', 'LTT': '10:15:25'}

2024-05-02 10:15:25.609936 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869808, 'LTP': '361.75', 'LTT': '10:15:25'}

2024-05-02 10:15:25.663428 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '491.15', 'LTT': '10:15:25'}

2024-05-02 10:15:25.786015 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '450.55', 'LTT': '10:15:25'}

2024-05-02 10:15:25.877010 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.30', 'LTT': '10:15:26'}

2024-05-02 10:15:25.900060 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '415.80', 'LTT': '10:15:26'}

2024-05-02 10:15:25.979471 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '451.25', 'LTT': '10:15:25'}

2024-05-02 10:15:26.092764 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '288.60', 'LTT': '10:15:26'}

2024-05-02 10:15:26.347711 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '287.75', 'LTT': '10:15:26'}

2024-05-02 10:15:26.392654 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '108.45', 'LTT': '10:15:26'}

2024-05-02 10:15:26.427640 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '161.80', 'LTT': '10:15:26'}

2024-05-02 10:15:26.633528 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '491.80', 'LTT': '10:15:26'}

2024-05-02 10:15:26.783621 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869576, 'LTP': '448.40', 'LTT': '10:15:26'}

2024-05-02 10:15:26.859748 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.50', 'LTT': '10:15:27'}

2024-05-02 10:15:26.880529 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '414.45', 'LTT': '10:15:27'}

2024-05-02 10:15:26.993218 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.65', 'LTT': '10:15:26'}

2024-05-02 10:15:27.148408 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '288.40', 'LTT': '10:15:26'}

2024-05-02 10:15:27.187364 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '109.00', 'LTT': '10:15:27'}

2024-05-02 10:15:27.356292 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 870766, 'LTP': '413.85', 'LTT': '10:15:27'}

2024-05-02 10:15:27.403298 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '288.50', 'LTT': '10:15:27'}

2024-05-02 10:15:27.628098 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '493.25', 'LTT': '10:15:27'}

2024-05-02 10:15:27.716854 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869808, 'LTP': '360.35', 'LTT': '10:15:27'}

2024-05-02 10:15:27.852295 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '56.95', 'LTT': '10:15:28'}

2024-05-02 10:15:27.891199 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '413.95', 'LTT': '10:15:28'}

2024-05-02 10:15:27.987223 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.25', 'LTT': '10:15:27'}

2024-05-02 10:15:28.027630 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '161.95', 'LTT': '10:15:27'}

2024-05-02 10:15:28.188994 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '109.30', 'LTT': '10:15:28'}

2024-05-02 10:15:28.195370 - {'type': 'Ticker Data', 'exchange_segment': 8, 'security_id': 869631, 'LTP': '287.90', 'LTT': '10:15:27'}

2024-05-02 10:15:28.635525 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43771, 'LTP': '493.45', 'LTT': '10:15:28'}

2024-05-02 10:15:28.868544 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '56.90', 'LTT': '10:15:29'}

2024-05-02 10:15:28.883904 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 43797, 'LTP': '411.80', 'LTT': '10:15:29'}

2024-05-02 10:15:28.986587 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36801, 'LTP': '167.05', 'LTT': '10:15:28'}

2024-05-02 10:15:28.997525 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36622, 'LTP': '69.15', 'LTT': '10:15:28'}

2024-05-02 10:15:29.179339 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41302, 'LTP': '108.85', 'LTT': '10:15:29'}

2024-05-02 10:15:29.621765 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 36752, 'LTP': '161.95', 'LTT': '10:15:29'}

2024-05-02 10:15:29.901202 - {'type': 'Ticker Data', 'exchange_segment': 2, 'security_id': 41312, 'LTP': '57.55', 'LTT': '10:15:30'}

